day,total_healthy,total_infected,total_incubating,total_deceased,total_healed,infected_today,deceased_today,recovered_today
95,38,210,14,604,9134,4,2,59
96,36,171,13,604,9176,2,0,42
97,36,137,6,605,9216,0,1,40
98,33,123,5,606,9233,3,1,17
99,32,105,4,607,9252,1,1,19
100,32,89,4,607,9268,0,0,16
101,32,82,1,608,9277,0,1,9
102,30,68,2,608,9292,2,0,15
103,30,59,2,608,9301,0,0,9
104,29,48,3,608,9312,1,0,11
105,29,45,1,608,9317,0,0,5
106,29,34,1,608,9328,0,0,11
107,29,28,0,608,9335,0,0,7
108,29,23,0,608,9340,0,0,5
109,29,20,0,608,9343,0,0,3
110,29,13,0,608,9350,0,0,7
111,29,9,0,608,9354,0,0,4
112,29,7,0,608,9356,0,0,2
113,29,7,0,608,9356,0,0,0
114,29,4,0,608,9359,0,0,3
115,29,3,0,608,9360,0,0,1
116,29,3,0,608,9360,0,0,0
117,29,3,0,608,9360,0,0,0
118,29,1,0,608,9362,0,0,2
119,29,1,0,608,9362,0,0,0
120,29,0,0,608,9363,0,0,1
121,29,0,0,608,9363,0,0,0
122,29,0,0,608,9363,0,0,0
123,29,0,0,608,9363,0,0,0
124,29,0,0,608,9363,0,0,0
125,29,0,0,608,9363,0,0,0
126,29,0,0,608,9363,0,0,0
127,29,0,0,608,9363,0,0,0
128,29,0,0,608,9363,0,0,0
129,29,0,0,608,9363,0,0,0
130,29,0,0,608,9363,0,0,0
131,29,0,0,608,9363,0,0,0
132,29,0,0,608,9363,0,0,0
133,29,0,0,608,9363,0,0,0
134,29,0,0,608,9363,0,0,0
135,29,0,0,608,9363,0,0,0
136,29,0,0,608,9363,0,0,0
137,29,0,0,608,9363,0,0,0
138,29,0,0,608,9363,0,0,0
139,29,0,0,608,9363,0,0,0
140,29,0,0,608,9363,0,0,0
141,29,0,0,608,9363,0,0,0
142,29,0,0,608,9363,0,0,0
143,29,0,0,608,9363,0,0,0
144,29,0,0,608,9363,0,0,0
145,29,0,0,608,9363,0,0,0
146,29,0,0,608,9363,0,0,0
147,29,0,0,608,9363,0,0,0
148,29,0,0,608,9363,0,0,0
149,29,0,0,608,9363,0,0,0
150,29,0,0,608,9363,0,0,0
151,29,0,0,608,9363,0,0,0
152,29,0,0,608,9363,0,0,0
153,29,0,0,608,9363,0,0,0
154,29,0,0,608,9363,0,0,0
155,29,0,0,608,9363,0,0,0
156,29,0,0,608,9363,0,0,0
157,29,0,0,608,9363,0,0,0
158,29,0,0,608,9363,0,0,0
159,29,0,0,608,9363,0,0,0
160,29,0,0,608,9363,0,0,0
161,29,0,0,608,9363,0,0,0
162,29,0,0,608,9363,0,0,0
163,29,0,0,608,9363,0,0,0
164,29,0,0,608,9363,0,0,0
165,29,0,0,608,9363,0,0,0
166,29,0,0,608,9363,0,0,0
167,29,0,0,608,9363,0,0,0
168,29,0,0,608,9363,0,0,0
169,29,0,0,608,9363,0,0,0
170,29,0,0,608,9363,0,0,0
171,29,0,0,608,9363,0,0,0
172,29,0,0,608,9363,0,0,0
173,29,0,0,608,9363,0,0,0
174,29,0,0,608,9363,0,0,0
175,29,0,0,608,9363,0,0,0
176,29,0,0,608,9363,0,0,0
177,29,0,0,608,9363,0,0,0
178,29,0,0,608,9363,0,0,0
179,29,0,0,608,9363,0,0,0
180,29,0,0,608,9363,0,0,0
181,29,0,0,608,9363,0,0,0
182,29,0,0,608,9363,0,0,0
183,29,0,0,608,9363,0,0,0
184,29,0,0,608,9363,0,0,0
185,29,0,0,608,9363,0,0,0
186,29,0,0,608,9363,0,0,0
187,29,0,0,608,9363,0,0,0
188,29,0,0,608,9363,0,0,0
189,29,0,0,608,9363,0,0,0
190,29,0,0,608,9363,0,0,0
191,29,0,0,608,9363,0,0,0
192,29,0,0,608,9363,0,0,0
193,29,0,0,608,9363,0,0,0
194,29,0,0,608,9363,0,0,0
195,29,0,0,608,9363,0,0,0
196,29,0,0,608,9363,0,0,0
197,29,0,0,608,9363,0,0,0
198,29,0,0,608,9363,0,0,0
199,29,0,0,608,9363,0,0,0
200,29,0,0,608,9363,0,0,0
201,29,0,0,608,9363,0,0,0
202,29,0,0,608,9363,0,0,0
203,29,0,0,608,9363,0,0,0
204,29,0,0,608,9363,0,0,0
205,29,0,0,608,9363,0,0,0
206,29,0,0,608,9363,0,0,0
207,29,0,0,608,9363,0,0,0
208,29,0,0,608,9363,0,0,0
209,29,0,0,608,9363,0,0,0
210,29,0,0,608,9363,0,0,0
211,29,0,0,608,9363,0,0,0
212,29,0,0,608,9363,0,0,0
213,29,0,0,608,9363,0,0,0
214,29,0,0,608,9363,0,0,0
215,29,0,0,608,9363,0,0,0
216,29,0,0,608,9363,0,0,0
217,29,0,0,608,9363,0,0,0
218,29,0,0,608,9363,0,0,0
219,29,0,0,608,9363,0,0,0
220,29,0,0,608,9363,0,0,0
221,29,0,0,608,9363,0,0,0
222,29,0,0,608,9363,0,0,0
223,29,0,0,608,9363,0,0,0
224,29,0,0,608,9363,0,0,0
225,29,0,0,608,9363,0,0,0
226,29,0,0,608,9363,0,0,0
227,29,0,0,608,9363,0,0,0
228,29,0,0,608,9363,0,0,0
229,29,0,0,608,9363,0,0,0
230,29,0,0,608,9363,0,0,0
231,29,0,0,608,9363,0,0,0
232,29,0,0,608,9363,0,0,0
233,29,0,0,608,9363,0,0,0
234,29,0,0,608,9363,0,0,0
235,29,0,0,608,9363,0,0,0
236,29,0,0,608,9363,0,0,0
237,29,0,0,608,9363,0,0,0
238,29,0,0,608,9363,0,0,0
239,29,0,0,608,9363,0,0,0
240,29,0,0,608,9363,0,0,0
241,29,0,0,608,9363,0,0,0
242,29,0,0,608,9363,0,0,0
243,29,0,0,608,9363,0,0,0
244,29,0,0,608,9363,0,0,0
245,29,0,0,608,9363,0,0,0
246,29,0,0,608,9363,0,0,0
247,29,0,0,608,9363,0,0,0
248,29,0,0,608,9363,0,0,0
249,29,0,0,608,9363,0,0,0
250,29,0,0,608,9363,0,0,0
251,29,0,0,608,9363,0,0,0
252,29,0,0,608,9363,0,0,0
253,29,0,0,608,9363,0,0,0
254,29,0,0,608,9363,0,0,0
255,29,0,0,608,9363,0,0,0
256,29,0,0,608,9363,0,0,0
257,29,0,0,608,9363,0,0,0
258,29,0,0,608,9363,0,0,0
259,29,0,0,608,9363,0,0,0
260,29,0,0,608,9363,0,0,0
261,29,0,0,608,9363,0,0,0
262,29,0,0,608,9363,0,0,0
263,29,0,0,608,9363,0,0,0
264,29,0,0,608,9363,0,0,0
265,29,0,0,608,9363,0,0,0
266,29,0,0,608,9363,0,0,0
267,29,0,0,608,9363,0,0,0
268,29,0,0,608,9363,0,0,0
269,29,0,0,608,9363,0,0,0
270,29,0,0,608,9363,0,0,0
271,29,0,0,608,9363,0,0,0
272,29,0,0,608,9363,0,0,0
273,29,0,0,608,9363,0,0,0
274,29,0,0,608,9363,0,0,0
275,29,0,0,608,9363,0,0,0
276,29,0,0,608,9363,0,0,0
277,29,0,0,608,9363,0,0,0
278,29,0,0,608,9363,0,0,0
279,29,0,0,608,9363,0,0,0
280,29,0,0,608,9363,0,0,0
281,29,0,0,608,9363,0,0,0
282,29,0,0,608,9363,0,0,0
283,29,0,0,608,9363,0,0,0
284,29,0,0,608,9363,0,0,0
285,29,0,0,608,9363,0,0,0
286,29,0,0,608,9363,0,0,0
287,29,0,0,608,9363,0,0,0
288,29,0,0,608,9363,0,0,0
289,29,0,0,608,9363,0,0,0
290,29,0,0,608,9363,0,0,0
291,29,0,0,608,9363,0,0,0
292,29,0,0,608,9363,0,0,0
293,29,0,0,608,9363,0,0,0
294,29,0,0,608,9363,0,0,0
295,29,0,0,608,9363,0,0,0
296,29,0,0,608,9363,0,0,0
297,29,0,0,608,9363,0,0,0
298,29,0,0,608,9363,0,0,0
299,29,0,0,608,9363,0,0,0
300,29,0,0,608,9363,0,0,0
