day,total_healthy,total_infected,total_incubating,total_deceased,total_healed,infected_today,deceased_today,recovered_today
0,9999,1,0,0,0,0,0,0
1,9998,1,1,0,0,1,0,0
2,9997,1,2,0,0,1,0,0
3,9997,1,2,0,0,0,0,0
4,9996,2,2,0,0,1,0,0
5,9995,3,2,0,0,1,0,0
6,9993,3,4,0,0,2,0,0
7,9992,4,4,0,0,1,0,0
8,9990,5,5,0,0,2,0,0
9,9987,7,6,0,0,3,0,0
10,9981,8,11,0,0,6,0,0
11,9980,10,10,0,0,1,0,0
12,9979,12,8,0,1,1,0,1
13,9974,18,7,0,1,5,0,0
14,9971,19,9,0,1,3,0,0
15,9961,20,18,0,1,10,0,0
16,9955,25,19,0,1,6,0,0
17,9955,27,16,0,2,0,0,1
18,9948,36,13,0,3,7,0,1
19,9940,42,15,0,3,8,0,0
20,9934,41,21,0,4,6,0,1
21,9928,47,20,0,5,6,0,1
22,9925,53,15,0,7,3,0,2
23,9914,58,20,0,8,11,0,1
24,9907,62,21,0,10,7,0,2
25,9895,62,30,0,13,12,0,3
26,9882,67,32,0,19,13,0,6
27,9872,73,35,0,20,10,0,1
28,9856,84,39,0,21,16,0,1
29,9828,90,54,2,26,28,2,5
30,9806,97,66,2,29,22,0,3
31,9781,103,75,2,39,25,0,10
32,9758,125,70,2,45,23,0,6
33,9722,146,84,3,45,36,1,0
34,9678,165,103,3,51,44,0,6
35,9642,179,116,4,59,36,1,8
36,9600,207,122,6,65,42,2,6
37,9549,246,129,7,69,51,1,4
38,9492,277,150,10,71,57,3,2
39,9417,307,183,11,82,75,1,11
40,9351,349,198,13,89,66,2,7
41,9260,393,232,15,100,91,2,11
42,9167,453,250,17,113,93,2,13
43,9062,505,289,21,123,105,4,10
44,8931,578,329,24,138,131,3,15
45,8803,642,364,27,164,128,3,26
46,8653,720,409,32,186,150,5,22
47,8491,828,440,33,208,162,1,22
48,8314,933,489,36,228,177,3,20
49,8114,1045,539,38,264,200,2,36
50,7923,1161,568,45,303,191,7,39
51,7693,1304,621,48,334,230,3,31
52,7440,1457,674,55,374,253,7,40
53,7182,1592,741,63,422,258,8,48
54,6869,1760,824,70,477,313,7,55
55,6576,1934,864,76,550,293,6,73
56,6261,2122,921,84,612,315,8,62
57,5947,2342,922,89,700,314,5,88
58,5585,2541,991,100,783,362,11,83
59,5236,2740,1025,120,879,349,20,96
60,4893,2917,1054,133,1003,343,13,124
61,4504,3144,1081,148,1123,389,15,120
62,4089,3331,1147,166,1267,415,18,144
63,3702,3503,1191,182,1422,387,16,155
64,3331,3706,1173,202,1588,371,20,166
65,2998,3917,1091,219,1775,333,17,187
66,2650,4109,1052,236,1953,348,17,178
67,2319,4246,1012,255,2168,331,19,215
68,1987,4325,1011,274,2403,332,19,235
69,1716,4407,934,296,2647,271,22,244
70,1473,4427,846,322,2932,243,26,285
71,1259,4462,728,339,3212,214,17,280
72,1049,4417,667,355,3512,210,16,300
73,874,4337,599,379,3811,175,24,299
74,726,4197,533,395,4149,148,16,338
75,594,4054,455,421,4476,132,26,327
76,497,3885,377,443,4798,97,22,322
77,404,3651,322,462,5161,93,19,363
78,340,3381,254,473,5552,64,11,391
79,275,3085,222,493,5925,65,20,373
80,230,2821,174,503,6272,45,10,347
81,186,2568,154,507,6585,44,4,313
82,168,2296,107,521,6908,18,14,323
83,145,2016,85,538,7216,23,17,308
84,129,1736,57,555,7523,16,17,307
85,116,1491,52,563,7778,13,8,255
86,101,1277,44,573,8005,15,10,227
87,92,1089,37,576,8206,9,3,201
88,80,904,36,580,8400,12,4,194
89,75,745,26,583,8571,5,3,171
90,64,606,28,590,8712,11,7,141
91,57,489,23,595,8836,7,5,124
92,52,402,23,595,8928,5,0,92
93,49,320,15,600,9016,3,5,88
94,42,266,15,602,9075,7,2,59
